"shortname","formalname"
пер,Толмачевский Ст.
пер,Ташкентский
ул,Воздушная
ул,Новорублёвская
ул,Воронежская
ул,Хованская
проезд,Вологодский
ул,Матросова
пл,Смоленская
ул,Дружбы
ул,Вавилова
ул,Люблинская
ш,Открытое
ул,Ливенская
туп,Сретенский
ул,Остоженка
ул,Мантулинская
пер,Кривоникольский
ул,Шишкина
пер,Каковинский М.
проезд,Новоостанкинский 5-й
пер.,Зелёный
проезд,Ростокинский
ул,Новомарьинская
проезд,Прибрежный
пер,Хвостов 2-й
проезд,Днепропетровский
ул,Лыковская 1-я
ул,Бардина
ул,Андроньевская М.
б-р,Коптевский
пр-д,Тушинский 3-й
км,МКАД 80-й
туп,Крюковский
ул,Внуковская 5-я
туп,Каланчевский
ш,Алтуфьевское
проезд,Берёзовой Рощи
ул,Старокрымская
ул,Красносолнечная
наб,Тараса Шевченко
пл,Зацепская
пер,Фигурный
ул,Чечулина
проезд,Якиманский
ул,Верхнелихоборская
проезд,Первомайский
пр-д,Сетуньский 3-й
ул,Сыромятническая Нов.
пер,Коленчатый
проезд,Михневский
пер,Гончарный 1-й
проезд,Коломенский
проезд,Линейный
ул,Мякининская 4-я
проезд,Марьиной Рощи 9-й
ул,Маршала Соколовского
пер,Спасоналивковский 1-й
пер,Пантелеевский
ул,Космонавтов
ул,Прохладная
ул,Римского-Корсакова
ул,Угрешская
ул,Иловайская
км,МКАД 42-й
ул,Маршала Катукова
пер,Луков
ул,Ботаническая М.
ул,Парковая 9-я
пер,Рогожский Б.
наб,Лужнецкая
пер,Басманный
пер,Колобовский 3-й
пр-кт,Комсомольский
ул,Новая Дорога
пер,Глинищевский
ул,Оршанская
ул,Павлоградская 2-я
ул,Деловая
пер,Павловский 3-й
пер,Никоновский
км,Мжд Казанское 5-й
ул,Спасская Б.
ул,Краснопрудная
пер,Больничный
проезд,Жулебинский
ул,Таймырская
ул,Поликарпова
ул,Генерала Антонова
проезд,Бумажный
наб,Ростовская
пер,Неопалимовский 1-й
проезд,Марьиной Рощи 4-й
ул,Донбасская
ул,Новопеределкинская
ул,Сокольническая Слободка
пер,Дроболитейный
пер,Элеваторный
ул,Душинская
проезд,Электролитный
ул,Набережная Б.
просек,Лучевой 1-й
ул,Гришина
пл,Хо Ши Мина
проезд,Якушкина
пер,Сусальный Верхн.
ул,Машиностроения 1-я
ул,Барболина
проезд,Рощинский 5-й
ул,Пугачевская 1-я
пл,Васильевский Спуск
ул,Касаткина
ул,Подольских Курсантов
пер,Златоустинский Б.
пл,Спартаковская
ул,Радиаторская 1-я
б-р,Новочеркасский
ул,Лермонтовская
ул,Масловка Н.
ул,Улофа Пальме
ул,Псковская
пер,Нововаганьковский
ул,Хачатуряна
ул,Якиманка М.
пл,Серпуховская Застава
проезд,Кочновский
ул,Западная
ул,Керченская
ул,Вилиса Лациса
ул,Манежная
пер,Останкинский 6-й
пер,Крутицкий 1-й
ул,Кубинка
ул,Годовикова
проезд,Институтский 2-й
ул,Бухвостова 2-я
ул,Лосевская
пер,Брянский 2-й
проезд,Щукинский 3-й
ул,Генерала Глаголева
проезд,Политехнический
ул,Мякининская 3-я
проезд,Анадырский
ул,Кооперативная
ул,Алексея Свиридова
проезд,Капотнинский 2-й
пер,Сухаревский М.
ул,Образцова
проезд,Солнечногорский
пр-д,Тушинский 1-й
км,МКАД 84-й
проезд,Зыковский Н.
ул,Смольная
ул,Белякова
проезд,Шломина
наб.,Воробьёвская
проезд,Ясный
ул,Фонвизина
ш,Новоухтомское
проезд,Егорьевский
проезд,Черницынский
ул,Инессы Арманд
проезд,Саринский
ул,Спортивная
пр-д,Физкультурный
пер,Полевой 1-й
туп,Краснопрудный Б.
ул,Бухвостова 3-я
проезд,Сигнальный
пер,Сивяков
пер,Кисловский М.
ул,Кабельная 5-я
ул,Клинская
пер,Архивный 1-й
пер,Восточный 3-й
ул,Марксистская
ул,Рудневой
пер,Медовый
пер,Глинистый
туп,Солянский
ул,Беговая
проезд,Новокрымский
ул,Академика Арцимовича
ул,Курьяновская 2-я
ул,Тульская Б.
ул,Ягодная
пер,Конюшковский М.
проезд,Марьиной Рощи 14-й
пер,Останкинский 3-й
проезд,Ставропольский
ул,Муравская 1-я
ул,Коштоянца
ул,Хорошёвская 3-я
км,МКАД 8-й
км,МКАД 15-й
ул,Приорова
пер,Трехсвятительский М.
ул,Новая Заря
пер,Кирпичный 3-й
ул,Внуковская 3-я
пл,Свободной России
ул,Совхозная
ул,Интернациональная
ул,Байкальская
пер,Успенский
ул,Горловская 1-я
пер,Мининский
ул,Викторенко
ул,Волынская
пл,Гагарина
пер,Вышеславцев 1-й
туп,Николоямской
ул,Авиаконструктора Миля
ул,Бронная М.
наб,Кремлевская
ул,Ходынская
проезд,Сосинский
ул,Никопольская 3-я
ул,Ступинская
пер,Котельнический 5-й
ул,Степана Супруна
б-р,Смоленский
ш,Долгопрудненское
проезд,Марьиной Рощи 11-й
проезд,Волоколамский 1-й
пл,Красноказарменная
ул,Радиаторская 3-я
проезд,Кожуховский 1-й
ул,Лыковская 3-я
пер,Кадашевский 3-й
ул,Парковая 3-я
ул,Лавочкина
ул,Адмирала Руднева
б-р,Измайловский
пр-д,Люберецкий 2-й
пер.,Палочный
ул,Магистральная 2-я
ул,Ялтинская
пр-д,Карамышевский
пер,Котельнический 4-й
ул,Бойцовая
ул,Моршанская
проезд,Михайловский Верхн. 5-й
туп,Путейский
ул,Новопоселковая
пер,Аптекарский
ул,Херсонская
проезд,Подбельского 4-й
проезд,Коптевский Б.
пер,Елисеевский
ул,Серпуховская Б.
туп,Пекуновский
ул,Кибальчича
проезд,Танковый
ул,Маршала Захарова
ул,Карьер
ул,Космонавта Волкова
ул,Сергия Радонежского
ул,Сергия Раданежского
ул,Константина Симонова
ул,Дубки
ул,Бородинская 1-я
ш,Сусоколовское
ул,Генерала Белова
пер,Девяткин
ул,Тропарёвская
ул,Заречье
ул,Луганская
ул,Молодёжная
ул,Грина
ул,Радиальная 9-я
ул,Белореченская
проезд,Кадомцева
км,МКАД 2-й
ул,Летниковская
пер,Лопухинский
пр-кт,Свободный
пр-д,Туркменский
ул,Джанкойская
ул,Сормовская
проезд,Перова Поля 3-й
пер,Ездаков
ул,Новослободская
ул,Останкинская 2-я
ул,Юрьевская
ул,Карачаровская
ул,Загорьевская
б-р,Маршала Рокоссовского
ул,Чагинская
пл,Кудринская
ул,Самотёчная
проезд,Хибинский
ул,Лубянка М.
ул,Ефремова
проезд,Третьяковский
ал.,Чоботовская 6-я
кв-л,Новые Черемушки 24а
ул,Каменщики Б.
туп,Хлыновский
пл,Ромена Роллана
б-р,Зубовский
пер,Чернышевского
ул,Болотниковская
ул,Екатерининская Б.
пер,Голутвинский 1-й
ул,Косыгина
пр-д,Дачно-Мещерский 5-й
км,МКАД 89-й
ш,Челобитьевское
пер,Садовнический
км,МКАД 10-й
ул,Паромная
ул,Красноармейская
ул,Гжатская
проезд,Яхромский
пер,Щетининский
ул,Авиаторов
ул,Говорова
ш.,Иваньковское
пр-д,Неманский
ул,Дивизионная
б-р,Сретенский
ул,Сухонская
пр-д,Пенягинский 1-й
ул,Валовая
пер,Головин М.
проезд,Волоколамский 3-й
ул,Лонгиновская
пл,Академика Тамма
б-р,Курьяновский
ул,Потылиха
проезд,Михайловский
км,МКАД 18-й
пер,Крапивенский
проезд,Резервный
км,Малое Кольцо Мжд 9-й
пер.,Цариков
ул,Елецкая
ул,Ейская
км,Мжд Рижское 7-й
ул,Карпатская 2-я
пер,Никитников
проезд,Чечёрский
пер,Мещерский
ул,Княжнина
пер,Руновский
км,МКАД 54-й
ул,Сивашская
ул,Остафьевская
ул,"1812 года"
ул,Нежинская
ул,Реутовская
пл,Ле Зуана
проезд,Безымянный
пл,Академика Курчатова
ул,Сокольническая 4-я
ул,Красносельская Нижн.
пер,Живарев
ул,Маршала Прошлякова
проезд,"3-й Силикатный"
проезд,Привольный
ш,Подольское
ул,Дмитриевского
ул,Дегунинская
ул,Булатниковская
ул,Тюрина
ул,Зубовская
ул,Алма-Атинская
пер,Левшинский Б.
ул,Олеко Дундича
ул,Вилюйская
ул,Запорожская
пер,Котельнический 1-й
пер,Новоселенский
ул,Княжеская
пер,Котельнический 3-й
ул,Староникольская
ул,Изумрудная
ул,Гончарная
ул,Красный Казанец
ул,Охотничья
б-р,Цветной
ул,Полоцкая
пер,Коптельский 2-й
пер,Староконюшенный
ул,Стрелецкая
туп,Сущёвский
ул,Знаменская
пер,Денисовский
ул,Лениногорская
пер,Троицкий 1-й
проезд,Олений
ул,Коломенская
ул,Недорубова
проезд,Ботанический 1-й
пер,Казенный М.
проезд,Варшавский 1-й
пер,Абрикосовский
ул,Дружинниковская
пр-кт,Балаклавский
ул,Семёновский Вал
ул,Захарьинские Дворики
пер,Монетчиковский 3-й
проезд,Капотнинский 1-й
ул,Тагильская
проезд,Путевой
проезд,Варшавский 2-й
ул,Бехтерева
пер,Институтский
ул,Воловья
проезд,Петровско-Разумовский С.
км,МКАД 90-й
проезд,Анненский
пер,Юрьевский
ул,Маресьева
ул,Окская
ул,Черневская
км,МКАД 43-й
пер,Шибаевский 1-й
проезд,Булатниковский
проезд,Михайловский Нижн. 1-й
км,МКАД 32-й
проезд,Проектируемый 4386-й
ул,Лазенки 1-я
ул,Кременчугская
ул,Кубанская
пер,Фуркасовский
пер,Серпов
пл,Лялина
ул,Гагарина
ул,Охотный Ряд
проезд,Новоданиловский
пер,Кисловский Б.
проезд,Янтарный
проезд,Фабричный
ул,Удальцова
пер,Добрынинский 4-й
пер,Вышеславцев 2-й
проезд,Автозаводский 2-й
ш,Внуковское 1-й километр
ул,Парковая 2-я
пер,Померанцев
пер,Фурманный
ул,Краснополянская
ул,Заповедная
ул,Липчанского
проезд,Красковский 2-й
пер,Симоновский Б.
б-р,Яна Райниса
ул,Островитянова
ул,Ленинские Горы
ул,Тарусская
пл,Варварские Ворота
ул,Мясницкая
ул,Столетова
пер,Факельный М.
наб,Овчинниковская
пер,Милицейский
пл,Московско-Минской Дивизии
ул,Мастеровая
ул,Скаковая
пер,Щемиловский 1-й
проезд,Островной
ул,Лыткаринская
ул,Ращупкина
туп,Еготьевский
проезд,Дубовой Рощи
ул,Пяловская
ул,Полковая
ул,Ибрагимова
пер,Конюшковский Б.
ул,Винокурова
пер,Головин Б.
линия,Северная 3-я
ул,Венецианова
ул,Ветлужская
б-р,Строгинский
пер,Товарищеский
ул,Вертолётчиков
ул,Старый Гай
проезд,Сельскохозяйственный 2-й
ул,Малыгина
ул,Гримау
пер,Матросский Б.
ул,Авиаконструктора Сухого
ул,Парковая 16-я
ул,Сперанского
пер,Волконский 2-й
ул,Касимовская
пер,Строченовский Б.
пер,Хуторской 2-й
ул,Зеленодольская
ул,Золоторожский Вал
ул,Заморёнова
ул,Петра Алексеева
ул,Хлобыстова
км,МКАД 13-й
пер,Ростовский 2-й
км,МКАД 63-й
проезд,Белгородский
ул,Парковая 6-я
ул,Трехгорный Вал
ул,Врубеля
ул,Савельева
ул,Долгоруковская
ул,Богданова
аллея,Дворцовая П.
б-р,Никитский
аллея,Трудовая
проезд,Железнодорожный
пер,Спасоглинищевский М.
проезд,Берингов
проезд,Добролюбова
ул,Муравская 2-я
км,Мжд Курское 32-й
ул,Кабельная 1-я
ул,Зацепский Вал
пер,Газовский
пр-д,Новомещерский
пл,Академика Вишневского
ул,Почтовая М.
ул,Торговая
туп,Весковский
линия,Северная 6-я
б-р,Симферопольский
линия,Северная 7-я
км,МКАД 104-й
ул,Михневская
проезд,Будайский
ул,Ширяево Поле
ул,Фрунзенская 2-я
ул,Бутырский Вал
ул,Отрадная
пер,Дмитровский
ул,Руднёвка
пер,Эльдорадовский
пер,Волконский 1-й
пер,Вольный 2-й
пер,Сыромятнический 1-й
проезд,Петровско-Разумовский
проезд,Светлый
ул,Миллионная
пер,Аристарховский
ул,Долгопрудная
пер,Ирининский 1-й
ул,Красносельская Верхн.
пер,Неопалимовский 2-й
линия,Красной Сосны 13-я
ул,Стройковская
ул,Седова
ул,Трофимова
лн.,Хорошевского Серебряного Бора 1-я
проезд,Донелайтиса
ул,Ростокинская
проезд,Перовский
пер,Бабьегородский 1-й
пер,Конный
проезд,Дубровский 1-й
пер,"1-й Зимёнковский"
ул,Новинки
ул,Наташи Ковшовой
пер,Колымажный
ул,Лобненская
ул,Пантелеевская
ул,Расковой
пер,Борисоглебский
ул,Вильгельма Пика
ш,Богородское
пр-д,Полесский
ул,Муромская
проезд,Апакова
ул,Юлиуса Фучика
ул,Алтайская
ул,Яузская
пер,Новотихвинский 1-й
ш,Белокаменное
ш.,Путилковское
ул,Бартеневская
проезд,Котельный
ул,Московская
ул,Санникова
проезд,Кабельный 1-й
проезд,Нагатинский 2-й
ул,Остроумовская Б.
пер,Кожевнический 2-й
км,МКАД 6-й
пер,Пуговишников
ул,Борисовская
пл,Вокзальная
пер,Гончаровский 2-й
ул,Синявинская
ул,Черепковская 3-я
ул,Тайнинская
ул,Полевая (Дер. Захарьино)
ул,Башиловская
ул,Железногорская 1-я
проезд,Парусный
ул,Старобитцевская
ул,Исаковского
ул,Щибровская
ул,Миусская 2-я
ул,Барклая
ул,Лесная
туп,Левый
км,МКАД 105-й
ул,Чугунные Ворота
лн.,Хорошевского Серебряного Бора 3-я
ул,Ватутинская 4-я
ул,Стахановская
ул,Динамовская
ул,Штурвальная
ш,Воробьёвское
пер,Казанский
ул,Константина Царёва
ул,Вересковая
ул,Железногорская 3-я
км,МКАД 29-й
ул,Чкалова
ул,Академика Бакулева
пл,Сухаревская М.
ул,Лыковская 2-я
ул,Ратная
пер,Тружеников 3-й
проезд,Иерусалимский
проезд,Купавенский М.
проезд,Красногорский 3-й
пер,Пятницкий
ул,Прокатная
ул,Энтузиастов 1-я
пер,Слободской
проезд,Лианозовский
проезд,Южный
ул,Осипенко
пер,Монетчиковский 4-й
пер,Московско-Казанский
проезд,Дворцовый
ул,Радиальная 11-я
ул,Семёновская М.
ул,Большая Марьинская
ул,Композиторская
наб.,Карамышевская
проезд,Проектируемый 210-й
км,МЖД Киевское 5-й
ул,Саляма Адиля
км,Мжд Курское 33-й
ул,Генерала Милорадовича
наб,Крымская
пер,Стремянный
ул,Академика Капицы
пер,Власьевский Б.
ул,Новорязанская
проезд,Южнопортовый 1-й
ул,Сестрорецкая 3-я
пр-д,Боровский
пер,Ащеулов
ул,Садовническая
ул,Путейская
ул,Усиевича
б-р,Осенний
ул,Суетина
проезд,Марьиной Рощи 17-й
ул,Дмитровка М.
туп,Симоновский
аллея,"11-ти Героев Сапёров"
пер,Прокудинский
пер,Афанасьевский М.
ул,Черкизовская М.
наб,Болотная
ул,Новогорская
проезд,Автомобильный
пер,Погорельский
ул,Первомайская Ср.
проезд,Гольяновский
ул,Лазенки 3-я
проезд,Автозаводский 1-й
проезд,Калитниковский Б.
ул,Госпитальный Вал
пл,"60-летия СССР"
ул,Демьяна Бедного
ул,Авиаконструктора Микояна
пер,Татарский М.
ул,Музейная 3-я
ул,Новые Сады 4-я
ул,Новые Сады 2-я
ул,Вучетича
пл,Калужская
пер,Бобров
проезд,Подбельского 6-й
ул,Миусская 1-я
ул,Гражданская 4-я
проезд,Высотный
ул,Пасечная
ул,Адмирала Макарова
пл,Елоховская
ул,Бородинская 2-я
ул,Верхоянская
проезд,Бусиновский
ул,Луховицкая
ул,Братьев Рябушинских
проезд,Локомотивный
ш,Варшавское
ул,Киселевская
ул,Скульптора Мухиной
ул,Пенягинская
пер,Шепелюгинский
проезд,Троекуровский
пер,Миргородский 2-й
наб,Даниловская
ул,Мартеновская
пер,Николоворобинский М.
б-р,Зиловский
ул,Котляковская
пер,Панкратьевский
ул,Заозёрная
ул,Новорогожская
ул,Новотихвинская
наб,Нагатинская
ул,Синичкина 2-я
пер,Самотёчный 1-й
ул,Синельниковская
туп,Переведеновский
б-р,Чистопрудный
ул,Молдавская
проезд,Проектируемый 1087-й
км,МКАД 91-й
ш,Головинское
ул,Бакунинская
ул,Парковая
пер,Сивцев Вражек
км,Мжд Киевское 17-й
ул,Роберта Фалька
ш,Пакгаузное
ш,Шелепихинское
ул,Малышева
пер.,Звенигородский
ул,Новочерёмушкинская
км,МКАД 94-й
проезд,Ореховый
ул,Смирновская
пер,Подсосенский
пер,Ведерников
пл,Защитников Неба
ул,Прянишникова
ул,Токарная
ул,Светланова
ул,Расплетина
проезд,Фармацевтический
км,МЖД Киевское 12-й
ул,Новогиреевская
ул,Чебоксарская
ул,Измайловского Зверинца 1-я
ул,Оренбургская
